,Conditions,Date,DateUTC<br />,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeBST,TimeGMT,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees
0,Scattered Clouds,2013/12/1,2013-12-01 00:00:00<br />,31.0,,,82.0,,30.48,35.0,,12:00 AM,11.0,West,4.6,260.0
1,Clear,2013/12/1,2013-12-01 00:20:00<br />,32.0,,-,93.0,,30.48,33.8,,12:20 AM,-9999.0,West,4.6,260.0
2,Clear,2013/12/1,2013-12-01 00:50:00<br />,33.8,,-,100.0,,30.48,33.8,,12:50 AM,-9999.0,WSW,4.6,250.0
3,Unknown,2013/12/1,2013-12-01 01:20:00<br />,33.8,,-,100.0,,30.45,33.8,,1:20 AM,6.2,WSW,4.6,250.0
4,Mostly Cloudy,2013/12/1,2013-12-01 01:50:00<br />,33.8,,-,93.0,,30.48,35.6,,1:50 AM,6.2,West,3.5,270.0
5,Mostly Cloudy,2013/12/1,2013-12-01 02:20:00<br />,33.8,,-,93.0,,30.48,35.6,,2:20 AM,6.2,West,4.6,270.0
6,Mostly Cloudy,2013/12/1,2013-12-01 02:50:00<br />,33.8,,-,93.0,,30.48,35.6,,2:50 AM,6.2,West,4.6,280.0
7,Mostly Cloudy,2013/12/1,2013-12-01 03:00:00<br />,33.0,,,80.0,,30.48,37.0,,3:00 AM,10.0,West,4.6,270.0
8,Mostly Cloudy,2013/12/1,2013-12-01 03:20:00<br />,35.6,,-,100.0,,30.45,35.6,,3:20 AM,6.2,West,4.6,270.0
9,Mostly Cloudy,2013/12/1,2013-12-01 03:50:00<br />,35.6,,-,93.0,,30.45,37.4,,3:50 AM,6.2,West,5.8,280.0
10,Mostly Cloudy,2013/12/1,2013-12-01 04:20:00<br />,35.6,,-,93.0,,30.45,37.4,,4:20 AM,6.2,West,8.1,270.0
11,Mostly Cloudy,2013/12/1,2013-12-01 04:50:00<br />,35.6,,-,87.0,,30.45,39.2,,4:50 AM,6.2,WNW,4.6,290.0
12,Mostly Cloudy,2013/12/1,2013-12-01 05:20:00<br />,37.4,,-,93.0,,30.45,39.2,,5:20 AM,6.2,West,4.6,270.0
13,Mostly Cloudy,2013/12/1,2013-12-01 05:50:00<br />,37.4,,-,93.0,,30.45,39.2,,5:50 AM,6.2,West,3.5,280.0
14,,2013/12/1,2013-12-01 06:00:00<br />,35.0,,,78.0,,30.47,40.0,,6:00 AM,12.0,WNW,2.3,300.0
15,Mostly Cloudy,2013/12/1,2013-12-01 06:20:00<br />,37.4,,-,93.0,,30.48,39.2,,6:20 AM,6.2,Variable,3.5,0.0
16,Mostly Cloudy,2013/12/1,2013-12-01 06:50:00<br />,37.4,,-,87.0,,30.48,41.0,,6:50 AM,6.2,West,3.5,280.0
17,Mostly Cloudy,2013/12/1,2013-12-01 07:20:00<br />,37.4,,-,87.0,,30.48,41.0,,7:20 AM,6.2,WNW,5.8,290.0
18,Mostly Cloudy,2013/12/1,2013-12-01 07:50:00<br />,39.2,,-,93.0,,30.48,41.0,,7:50 AM,6.2,NW,4.6,310.0
19,Mostly Cloudy,2013/12/1,2013-12-01 08:20:00<br />,39.2,,-,93.0,,30.48,41.0,,8:20 AM,6.2,NW,4.6,310.0
20,Mostly Cloudy,2013/12/1,2013-12-01 08:50:00<br />,39.2,,-,87.0,,30.48,42.8,,8:50 AM,6.2,WNW,4.6,290.0
21,Overcast,2013/12/1,2013-12-01 09:00:00<br />,38.0,,,79.0,,30.5,42.0,,9:00 AM,16.0,WNW,5.8,290.0
22,Mostly Cloudy,2013/12/1,2013-12-01 09:20:00<br />,39.2,,-,87.0,,30.51,42.8,,9:20 AM,6.2,WNW,4.6,290.0
23,Mostly Cloudy,2013/12/1,2013-12-01 09:50:00<br />,39.2,,-,87.0,,30.51,42.8,,9:50 AM,6.2,WNW,4.6,290.0
24,Mostly Cloudy,2013/12/1,2013-12-01 10:20:00<br />,41.0,,-,87.0,,30.51,44.6,,10:20 AM,6.2,WNW,4.6,290.0
25,Mostly Cloudy,2013/12/1,2013-12-01 10:50:00<br />,41.0,,-,87.0,,30.51,44.6,,10:50 AM,6.2,WNW,4.6,290.0
26,Mostly Cloudy,2013/12/1,2013-12-01 11:20:00<br />,42.8,,-,87.0,,30.51,46.4,,11:20 AM,6.2,WNW,5.8,300.0
27,Mostly Cloudy,2013/12/1,2013-12-01 11:50:00<br />,42.8,,-,87.0,,30.51,46.4,,11:50 AM,6.2,WNW,4.6,300.0
